"","Classroom.ID","Child","parm","PIRsummary","WIRsummary"
"1","102-4-2",4,"phi",0.976190476190476,0.714285714285714
"3","107-5-1",12,"phi",0.827586206896552,0.719298245614035
"5","115-5-1",5,"phi",0.958333333333333,0.770833333333333
"7","124-6-1",1,"phi",0.96969696969697,0.712121212121212
"9","124-6-1",2,"phi",0.985074626865672,0.865671641791045
"11","133-6-1",1,"phi",0.96969696969697,0.803030303030303
"13","133-6-1",2,"phi",0.590909090909091,0.181818181818182
"15","133-6-1",3,"phi",0.772727272727273,0.454545454545455
"17","49-3-2",1,"phi",0.928571428571429,0.75
"19","49-3-2",2,"phi",0.892857142857143,0.553571428571429
"21","49-3-2",6,"phi",0.803571428571429,0.392857142857143
"23","59-3-1",4,"phi",0.786885245901639,0.426229508196721
"25","75-4-1",13,"phi",0.87719298245614,0.535714285714286
"27","75-4-1",3,"phi",0.913793103448276,0.56140350877193
"29","91-5-1",8,"phi",0.634615384615385,0.230769230769231
"31","96-4-2",2,"phi",0.815789473684211,0.631578947368421
